,Country,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,Country_clean_deaths,Country_Binned_deaths
182,South Africa,0,0,5,103,683,2657,8005,14149,16734,19276,21535,28469,44164,South Africa,Africa
183,South Korea,0,16,162,248,271,282,301,324,415,466,526,917,1425,South Korea,Asia
184,South Sudan,0,0,0,0,10,38,46,47,49,58,61,63,64,South Sudan,Africa
185,Spain,0,0,8464,24543,27127,28355,28445,29094,31791,35878,45069,50837,58319,Spain,Europe
186,Sri Lanka,0,0,2,7,10,11,11,12,13,20,118,204,316,Sri Lanka,Asia
187,St. Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,St. Martin,North America
188,Sudan,0,0,2,31,286,572,746,823,836,837,1249,1468,1807,Sudan,Africa
189,Suriname,0,0,0,1,1,13,26,71,104,111,117,122,154,Suriname,South America
190,Sweden,0,0,180,2586,4395,5333,5743,5808,5893,5938,6681,8727,11591,Sweden,Europe
191,Switzerland,0,0,433,1737,1920,1963,1981,2006,2074,2297,4815,7645,9381,Switzerland,Europe
192,Syria,0,0,2,3,5,9,43,112,200,288,417,711,921,Syria,Asia
193,Taiwan,0,1,5,6,7,7,7,7,7,7,7,7,8,Taiwan,Asia
194,Tajikistan,0,0,0,0,47,52,60,68,76,82,86,90,90,Tajikistan,Asia
195,Tanzania,0,0,1,16,21,21,21,21,21,21,21,21,21,Tanzania,Africa
196,Thailand,0,0,10,54,57,58,58,58,59,59,60,63,77,Thailand,Asia
197,The Gambia,0,0,1,1,1,2,9,96,112,119,123,124,128,Senegal,Africa
198,Togo,0,0,1,9,13,14,19,28,48,57,64,68,77,Togo,Africa
199,Trinidad and Tobago,0,0,3,8,8,8,8,22,76,108,120,127,134,Trinidad and Tobago,North America
200,Tunisia,0,0,10,41,48,50,50,77,265,1317,3260,4676,6754,Tunisia,Africa
201,Turkey,0,0,214,3174,4540,5131,5691,6370,8195,10252,13746,20881,25993,Turkey,Asia
202,Uganda,0,0,0,0,0,0,3,32,75,111,205,251,324,Uganda,Africa
203,Ukraine,0,0,17,261,708,1173,1717,2605,4221,7399,12731,19281,23860,Ukraine,Europe
204,United Arab Emirates,0,0,6,105,264,315,351,384,419,495,572,669,850,United Arab Emirates,Asia
205,United Kingdom,0,0,1793,26842,38571,43815,46204,41589,42233,46645,58545,73622,106367,United Kingdom,Europe
206,United States,0,1,3868,63391,104816,127613,153863,184207,207666,232027,271710,352752,447772,United States,North America
207,Uruguay,0,0,1,17,22,27,35,44,48,58,77,181,436,Uruguay,South America
208,Uzbekistan,0,0,2,9,15,26,141,320,470,566,610,614,621,Uzbekistan,Asia
209,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,Vanuatu,Australia
210,Vatican City,0,0,0,0,0,0,0,0,0,0,0,0,0,Italy,Europe
211,Venezuela,0,0,3,16,14,51,164,386,628,798,897,1028,1189,Venezuela,South America
212,Vietnam,0,0,0,0,0,0,3,34,35,35,35,35,35,Vietnam,Asia
213,West Bank and Gaza,0,0,1,2,3,8,82,152,311,483,732,1400,1833,Palestine,Asia
214,Yemen,0,0,0,2,80,312,493,566,587,599,605,610,615,Yemen,Asia
215,Zambia,0,0,0,3,7,24,151,288,332,349,357,388,763,Zambia,Africa
216,Zimbabwe,0,0,1,4,4,7,67,202,228,243,276,363,1217,Zimbabwe,Africa
