,Country,January_2020_recovery,February_2020_recovery,March_2020_recovery,April_2020_recovery,May_2020_recovery,June_2020_recovery,July_2020_recovery,August_2020_recovery,September_2020_recovery,October_2020_recovery,November_2020_recovery,December_2020_recovery,January_2021_recovery,January_2020_cases,February_2020_cases,March_2020_cases,April_2020_cases,May_2020_cases,June_2020_cases,July_2020_cases,August_2020_cases,September_2020_cases,October_2020_cases,November_2020_cases,December_2020_cases,January_2021_cases,January_2020_deaths,February_2020_deaths,March_2020_deaths,April_2020_deaths,May_2020_deaths,June_2020_deaths,July_2020_deaths,August_2020_deaths,September_2020_deaths,October_2020_deaths,November_2020_deaths,December_2020_deaths,January_2021_deaths,ages_10-14_female,ages_10-14_male,ages_20-24_female,ages_20-24_male,ages_30-34_female,ages_30-34_male,ages_40-44_female,ages_40-44_male,ages_50-54_female,ages_50-54_male,ages_65_and_above_female,ages_65_and_above_male,Countries_Binned
40,Colombia,0,0,31,1439,7032,40021,154387,459460,743653,968927,1210489,1508419,1938322,0,0,906,6507,27219,95269,295508,615094,829679,1073809,1316806,1642775,2094884,0,0,16,293,916,3376,10105,19662,25998,31598,36766,43213,53983,7.51666748,8.142258267,8.486649432,9.085527718,7.760452661,8.046871968,6.795301693,6.483524812,5.947206478,5.517441635,9.576758207,7.92467408,South America
41,Comoros,0,0,0,0,26,200,330,399,464,498,586,705,1731,0,0,0,1,106,303,378,423,479,545,611,823,2726,0,0,0,0,2,7,7,7,7,7,7,10,93,11.59573232,11.78910091,9.125855801,9.244891778,7.29105651,7.331376249,4.842048847,4.802777195,3.259335849,3.165117309,3.355854307,2.759954335,Africa
42,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
43,Congo (Brazzaville),0,0,0,19,179,456,829,1742,3887,3887,4988,5846,5846,0,0,19,220,611,1087,3200,3979,5089,5290,5774,7107,7887,0,0,0,9,20,37,54,78,89,92,94,108,117,,,,,,,,,,,,,
44,Congo (Kinshasa),0,0,2,73,448,1426,6796,9133,10139,10585,11585,14701,15031,0,0,98,572,3070,7039,9070,10097,10659,11306,12772,17658,22771,0,0,8,31,72,170,215,258,272,307,333,591,671,,,,,,,,,,,,,
45,Costa Rica,0,0,4,338,669,1436,4404,16056,37841,66719,87526,131923,151952,0,0,347,719,1056,3459,17820,41287,75760,109971,139638,169321,193276,0,0,2,6,10,16,150,436,904,1385,1726,2185,2604,6.875108415,7.205081864,7.892485689,8.214620269,8.346382725,8.554793405,6.700456471,6.693256279,6.183550084,5.970492428,10.58477906,9.175517207,North America
46,Croatia,0,0,67,1348,2072,2155,4267,7434,15057,32818,105199,198018,224476,0,6,867,2076,2246,2777,5139,10269,16593,49316,128442,210837,232426,0,0,6,69,103,107,145,186,280,546,1786,3920,5027,4.748295086,5.376793642,5.478805616,6.191762374,6.073399605,6.737034645,6.587116476,7.287884765,6.797555838,7.093564621,24.10184817,17.37469316,Europe
47,Cuba,0,0,8,681,1809,2214,2355,3378,4893,6245,7631,10125,20863,0,0,186,1501,2045,2341,2608,4032,5597,6887,8284,11863,26686,0,0,6,61,83,86,87,94,122,128,135,146,214,5.168611087,5.545984241,6.037465937,6.481586118,7.098659622,7.453613479,5.744646096,5.958107495,9.027148274,8.759653642,16.80717883,14.30578003,North America
48,Cyprus,0,0,23,296,790,833,852,1139,1369,1882,2057,2057,2057,0,0,262,850,944,998,1114,1488,1755,4366,10565,22019,30876,0,0,8,15,17,19,19,20,22,26,49,119,199,5.456908909,5.814312436,7.340511984,8.244993718,7.870150198,8.346112195,7.333503538,6.936126829,6.374180888,6.119837076,15.28625327,12.81017592,Asia
49,Czech Republic,0,0,45,3314,6558,7771,11569,17807,33443,143359,451607,592581,871917,0,0,3308,7682,9268,11954,16574,24618,68919,335102,523298,718661,984774,0,0,31,236,320,349,382,424,655,3251,8295,11580,16308,5.038034773,5.477577962,4.410670552,4.766712263,6.459675956,7.048188923,8.419634214,9.150219327,6.12813468,6.536234837,22.52439632,16.99040495,Europe
50,Denmark,0,0,77,6741,10560,11849,12780,15593,21197,35020,64031,127844,187996,0,3,3039,9356,11869,12968,14028,17410,28479,46863,81002,164116,199156,0,0,90,452,574,605,615,624,650,721,837,1298,2126,5.677545177,6.063584967,6.364712348,6.78840648,5.796351395,6.07111196,6.30920283,6.378464159,7.175337373,7.469215994,21.38911621,18.52532275,Europe
51,Djibouti,0,0,0,642,1504,4524,4999,5323,5344,5441,5584,5728,5845,0,0,30,1089,3354,4682,5084,5387,5416,5561,5679,5831,5932,0,0,0,2,24,54,58,60,61,61,61,61,63,8.553107602,9.535948057,8.90578627,9.488482206,8.841012976,8.651286168,6.554883993,6.746401483,4.3361279,4.116051076,5.0445181,4.217038092,Africa
52,Dominica,0,0,0,13,16,18,18,18,24,33,63,83,106,0,0,12,16,16,18,18,20,30,50,85,88,117,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,North America
53,Dominican Republic,0,0,5,1301,10559,17580,36470,68082,87629,104862,115219,131185,157533,0,0,1109,6972,17285,32568,69649,94715,112209,127018,143988,170785,214060,0,0,51,301,502,747,1160,1710,2105,2245,2331,2414,2666,8.893791812,9.262666044,8.660857485,8.920207566,7.601048177,7.536471819,6.191102188,6.091724532,5.073073257,4.839795326,7.767387296,6.828764052,North America
54,Ecuador,0,0,54,1558,19592,27594,36044,101669,112296,141759,169804,184507,209814,0,0,2240,24934,39098,56432,85355,113767,137047,168192,192685,212512,250828,0,0,75,900,3358,4527,5702,6556,11355,12670,13461,14034,14859,8.75322031,9.1251618,8.79067207,9.066960229,7.673752788,7.725689021,6.261826038,6.144523316,4.931943058,4.750619844,7.924410094,6.820388777,South America
55,Egypt,0,1,157,1381,6037,18460,39638,72929,96494,99452,102718,112105,129636,0,1,710,5537,24985,68311,94078,98939,103198,107555,115911,138062,165951,0,0,46,392,959,2953,4805,5421,5930,6266,6650,7631,9316,,,,,,,,,,,,,
56,El Salvador,0,0,0,119,1040,3770,8362,14292,23813,29186,35078,45960,48711,0,0,32,395,2517,6438,16632,25729,29077,33445,38405,45960,54966,0,0,1,10,46,174,448,717,843,975,1114,1327,1623,8.320017772,9.81390529,9.51088232,10.38019709,7.405143203,6.874751311,6.268969392,5.428079354,4.988255777,4.217535961,9.281449433,7.548837334,North America
57,Equatorial Guinea,0,0,1,9,200,515,2182,3884,4769,4965,5009,5136,5286,0,0,12,315,1306,2001,4821,4941,5030,5088,5153,5277,5516,0,0,0,1,12,32,83,83,83,83,85,86,86,11.36909022,9.327388525,9.213181236,10.30029596,8.290667415,11.30517376,4.27229353,5.291427829,2.703937,2.627805201,2.825997785,2.103544201,Africa
58,Eritrea,0,0,0,26,39,53,225,284,341,412,498,643,1594,0,0,15,39,39,203,279,319,375,463,577,1320,2135,0,0,0,0,0,0,0,0,0,0,0,3,7,..,..,..,..,..,..,..,..,..,..,..,..,Africa
